01.m4a	10.86s	שמעים את מימו ומסך הבית דקה אחת בלי אורדה מכנות האפליקציות וכך עושים את זה שלב אחרי שלב
02.m4a	9.58s	יש את החייפון, פותחים את הקישור של מימו בדבדפן ספרי, לא מתוך וואטסאפ ולא מתוך אינסטגרם
03.m4a	9.92s	לוחצים על כפתור השיתוף, הריבוע עם החץ למעלה, ואז על ויום מור, היגול הכי אם אני בשורת הכפתורים.
04.m4a	11.71s	בוחים את טו אומסקרין, עוסף למסך הבית ומאשרים, זהו מימו אצלך במסך הבית, כמו כל אפליקציה
05.m4a	10.26s	באנדרואיד זה עוד יותר פשוט פותחים את הקישור בחום לוחצים על שלוש הנקודות למעלה ובוחים אוספה למסך הבית
06.m4a	14.01s	אז מה יש בפנים? מסך הבית פותח לכת היום מישהו מועיר של ענקה, שנה וחיתול המלצה שמתאימה בדיוק לגיל של התינוק והמפגשים הקרובים של הקהילה
07.m4a	18.11s	היומן עוקב אחרי היום של התינוק, ענקה, בקבוק, שנה, חיתול וזמן ביתן, הכל על ציר זמן, עם תצוגת שבוע, רשימה וסיכום, וכמובן שאפשר לשתף את הבן זוג, את הסבתא או את הבאי בסיטר.
08.m4a	13.42s	בקהילת מימו נרשמות למפגשים, ארצאות ואמונים, רואים תאריך, שעה ומחיר, לוחצות אני מגיעה וכל כרטיסים נשמרים בהזמנות שלי
09.m4a	15.81s	במוצרים, אפשר לראות את המוצרים של מימו, סדנאות, ליוויים ומוצרים השלימים, בוחות מחזור עם תאריך ושעה, רות כמה מקומות נשארו. נרשמות, או שלחות הודעה בוואטסאפ.
10-a.m4a	7.70s	זהו, מחכות לך בפנים ואם משהו לא ברור, כתביענו בוואטסאפ ונשמח לעזור
10-b.m4a	4.12s	מימו, ביתו, תפומי לתז.
